Yönetmen;Film;Tarih;Saat;Yer
Gianfranco Rosi;Pompei: Bulutların Altında;09 Nisan Perşembe;19:00;Atlas 1948
Gianfranco Rosi;Pompei: Bulutların Altında;10 Nisan Cuma;19:00;Kadıköy Sineması
Pedro Almodóvar;Matador;10 Nisan Cuma;19:00;Sinematek/Sinemaevi
Sunay Terzioğlu;Bağlar, Kökler ve Tutkular;13 Nisan Pazartesi;19:00;Beyoğlu Sineması
Ali Cabbar;Annemin Solgun Çiçekleri;14 Nisan Salı;19:00;Beyoğlu Sineması
Fatma Karakuş Kaçmaz;Kadranı Olmayan Saat;15 Nisan Çarşamba;19:00;Sinematek/Sinemaevi
Abdallah Alkhatib;Kuşatma Kayıtları;16 Nisan Perşembe;19:00;Beyoğlu Sineması
Şeyhmus Altun;Aldığımız Nefes;17 Nisan Cuma;19:00;Beyoğlu Sineması
Alex Bakri;Habibi Hüseyin;17 Nisan Cuma;21:30;Beyoğlu Sineması
David Lowery;Mother Mary;17 Nisan Cuma;19:00;Kadıköy Sineması
Sergei Eisenstein;Potemkin Zırhlısı;13 Nisan Pazartesi;21:30;Sinematek/Sinemaevi
Valentyn Vasyanovych;Zafere Doğru;11 Nisan Cumartesi;16:00;Sinematek/Sinemaevi
Massimiliano Battistella;Ev;11 Nisan Cumartesi;16:00;Paribu Cineverse Nautilus
Namir Abdel Messeeh;Siham'dan Sonra;11 Nisan Cumartesi;19:00;Cinewam City's 3
Sierra Falconer;Göl Hikâyeleri;11 Nisan Cumartesi;19:00;Paribu Cineverse Nautilus
Lance Hammer ;Kraliçe Zor Durumda;11 Nisan Cumartesi;19:00;Kadıköy Sineması
Tsai Ming-liang;Yaşasın Aşk;11 Nisan Cumartesi;19:00;Beyoğlu Sineması
Steven Soderbergh;The Christophers;11 Nisan Cumartesi;21:30;Paribu Cineverse Nautilus
Olivier Assayas;Kremlin'in Büyücüsü;11 Nisan Cumartesi;21:30;Atlas 1948
Olivier Assayas;Kremlin'in Büyücüsü;12 Nisan Pazar;21:30;Paribu Cineverse Nautilus
Olivier Assayas;Kremlin'in Büyücüsü;12 Nisan Pazar;21:30;Cinewam City's 7
Ildikó Enyedi;Sessiz Dost;12 Nisan Pazar;16:00;Kadıköy Sineması
Kent Jones;Geç Gelen Şöhret;12 Nisan Pazar;19:00;Cinewam City's 7
Aurélien Vernhes-Lermusiaux;Kara Yılan;12 Nisan Pazar;19:00;Cinewam City's 3
Gore Verbinski;İyi Şanslar, İyi Eğlenceler, Sakın Ölme;12 Nisan Pazar;19:00;Atlas 1948
Yeşim Ustaoğlu;Kuru Taşın Başı;18 Nisan Cumartesi;16:00;Atlas 1948
Yeşim Ustaoğlu;Kuru Taşın Başı;18 Nisan Cumartesi;21:30;Sinematek/Sinemaevi
Nicolas Wadimoff;Hayatta Kalanlar;18 Nisan Cumartesi;19:00;Cinewam City's 3
Aaron Brookner, Rodrigo Areias;Nova '78;18 Nisan Cumartesi;19:00;Beyoğlu Sineması
David Lowery;Mother Mary;18 Nisan Cumartesi;21:30;Cinewam City's 7
David Lowery;Mother Mary;19 Nisan Pazar;19:00;Atlas 1948
Jean-François Ravagnan;Son Kıyı;19 Nisan Pazar;16:00;Kadıköy Sineması
Amir Azizi;Amir'in Kararı;19 Nisan Pazar;16:00;Beyoğlu Sineması
Claire Denis;Bekçilerin Çığlığı;19 Nisan Pazar;19:00;Cinewam City's 3
